"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19201","35.92%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1384","2.59%"
"Other Custody","458",".86%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21080","39.43%"
"PAROLEES","8763","16.39%"
"TVC Parole","325","0.61%"
"PROBATIONERS","23157","43.32%"
"TVC Probation","133","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32378","60.57%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53458","100.00%"
