"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19398","29.65%"
"Community Corrections (ERS, ISP, Medical Release)","2651","4.05%"
"Other Custody","504",".77%"
"At Large (Escapees & Walk-Aways)","28",".04%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","22586","34.53%"
"PAROLEES","9464","14.47%"
"TVC Parole","257","0.39%"
"PROBATIONERS","32986","50.43%"
"TVC Probation","120","0.18%"
"PAROLEE AND PROBATIONER TOTAL","42827","65.47%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65413","100.00%"
