"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18598","34.53%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report, Bond Monitoring, Contempt)","1491","2.77%"
"Other Custody","482",".89%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","20605","38.26%"
"PAROLEES","8319","15.45%"
"TVC Parole","102","0.19%"
"PROBATIONERS","24691","45.84%"
"TVC Probation","143","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33255","61.74%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","53860","100.00%"
