"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18833","34.62%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1374","2.53%"
"Other Custody","511",".94%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","20753","38.15%"
"PAROLEES","7787","14.31%"
"TVC Parole","81","0.15%"
"PROBATIONERS","25635","47.12%"
"TVC Probation","147","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33650","61.85%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","54403","100.00%"
