"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18859","28.74%"
"Community Corrections (ERS, ISP, Medical Release)","2422","3.69%"
"Other Custody","519",".79%"
"At Large (Escapees & Walk-Aways)","28",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21835","33.27%"
"PAROLEES","9821","14.96%"
"TVC Parole","285","0.43%"
"PROBATIONERS","33529","51.09%"
"TVC Probation","158","0.24%"
"PAROLEE AND PROBATIONER TOTAL","43793","66.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65628","100.00%"
