"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19,150","29.34%"
"Community Corrections (ERS, ISP, Medical Release)","2,461","3.77%"
"Other Custody","521",".80%"
"At Large (Escapees & Walk-Aways)","28",".04%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","22,172","33.96%"
"PAROLEES","9,669","14.81%"
"TVC Parole","235","0.36%"
"PROBATIONERS","33,061","50.65%"
"TVC Probation","142","0.22%"
"PAROLEE AND PROBATIONER TOTAL","43,107","66.04%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,279","100.00%"
