"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19111","33.14%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing)","1550","2.69%"
"Other Custody","527",".91%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","21224","36.81%"
"PAROLEES","7535","13.07%"
"TVC Parole","144","0.25%"
"PROBATIONERS","28625","49.65%"
"TVC Probation","131","0.23%"
"PAROLEE AND PROBATIONER TOTAL","36435","63.19%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","57659","100.00%"
