"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19270","35.78%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1342","2.49%"
"Other Custody","448",".83%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21098","39.17%"
"PAROLEES","8725","16.20%"
"TVC Parole","220","0.41%"
"PROBATIONERS","23709","44.02%"
"TVC Probation","109","0.20%"
"PAROLEE AND PROBATIONER TOTAL","32763","60.83%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53861","100.00%"
