"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19237","34.75%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1377","2.49%"
"Other Custody","525",".95%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21173","38.24%"
"PAROLEES","7348","13.27%"
"TVC Parole","165","0.30%"
"PROBATIONERS","26539","47.94%"
"TVC Probation","137","0.25%"
"PAROLEE AND PROBATIONER TOTAL","34189","61.76%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55362","100.00%"
