"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19356","35.60%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1422","2.62%"
"Other Custody","502",".92%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","21314","39.20%"
"PAROLEES","8834","16.25%"
"TVC Parole","258","0.47%"
"PROBATIONERS","23824","43.81%"
"TVC Probation","147","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33063","60.80%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54377","100.00%"
