"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19,063","34.77%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,433","2.61%"
"Other Custody","479",".87%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","19",".03%"
"INMATE TOTAL","21,018","38.33%"
"PAROLEES","8,981","16.38%"
"TVC Parole","289","0.53%"
"PROBATIONERS","24,401","44.50%"
"TVC Probation","141","0.26%"
"PAROLEE AND PROBATIONER TOTAL","33,812","61.67%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,830","100.00%"
