"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19,107","35.62%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,349","2.52%"
"Other Custody","445",".83%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20,938","39.04%"
"PAROLEES","8,622","16.08%"
"TVC Parole","158","0.29%"
"PROBATIONERS","23,835","44.44%"
"TVC Probation","81","0.15%"
"PAROLEE AND PROBATIONER TOTAL","32,696","60.96%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,634","100.00%"
