"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19496","34.46%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing)","1463","2.59%"
"Other Custody","529",".93%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21521","38.03%"
"PAROLEES","7143","12.62%"
"TVC Parole","169","0.30%"
"PROBATIONERS","27609","48.79%"
"TVC Probation","141","0.25%"
"PAROLEE AND PROBATIONER TOTAL","35062","61.97%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","56583","100.00%"
