"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","18,918","34.24%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,452","2.63%"
"Other Custody","469",".85%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","16",".03%"
"INMATE TOTAL","20,879","37.78%"
"PAROLEES","9,144","16.55%"
"TVC Parole","109","0.20%"
"PROBATIONERS","25,025","45.29%"
"TVC Probation","101","0.18%"
"PAROLEE AND PROBATIONER TOTAL","34,379","62.22%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,258","100.00%"
