"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18412","28.52%"
"Community Corrections (ERS, ISP, Medical Release)","1697","2.63%"
"Other Custody","545",".84%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","20689","32.05%"
"PAROLEES","8559","13.26%"
"TVC Parole","439","0.68%"
"PROBATIONERS","34707","53.76%"
"TVC Probation","163","0.25%"
"PAROLEE AND PROBATIONER TOTAL","43868","67.95%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","64557","100.00%"
