"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","18,069","32.95%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,459","2.66%"
"Other Custody","474",".86%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","20,036","36.54%"
"PAROLEES","9,445","17.23%"
"TVC Parole","11","0.02%"
"PROBATIONERS","25,283","46.11%"
"TVC Probation","56","0.10%"
"PAROLEE AND PROBATIONER TOTAL","34,795","63.46%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,831","100.00%"
