"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19052","35.46%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1329","2.47%"
"Other Custody","450",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","16",".03%"
"INMATE TOTAL","20876","38.86%"
"PAROLEES","8726","16.24%"
"TVC Parole","126","0.23%"
"PROBATIONERS","23920","44.52%"
"TVC Probation","77","0.14%"
"PAROLEE AND PROBATIONER TOTAL","32849","61.14%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53725","100.00%"
