"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18696","29.53%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1648","2.60%"
"Other Custody","527",".83%"
"At Large (Escapees & Walk-Aways)","26",".04%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20908","33.02%"
"PAROLEES","8335","13.16%"
"TVC Parole","206","0.33%"
"PROBATIONERS","33698","53.22%"
"TVC Probation","171","0.27%"
"PAROLEE AND PROBATIONER TOTAL","42410","66.98%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63318","100.00%"
