"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19131","35.70%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1340","2.50%"
"Other Custody","453",".85%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20962","39.12%"
"PAROLEES","8788","16.40%"
"TVC Parole","257","0.48%"
"PROBATIONERS","23476","43.81%"
"TVC Probation","102","0.19%"
"PAROLEE AND PROBATIONER TOTAL","32623","60.88%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53585","100.00%"
