"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19179","34.77%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1391","2.52%"
"Other Custody","526",".95%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","4",".01%"
"INMATE TOTAL","21128","38.30%"
"PAROLEES","7458","13.52%"
"TVC Parole","129","0.23%"
"PROBATIONERS","26321","47.71%"
"TVC Probation","130","0.24%"
"PAROLEE AND PROBATIONER TOTAL","34038","61.70%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55166","100.00%"
