"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19436","34.67%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1425","2.54%"
"Other Custody","535",".95%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21430","38.23%"
"PAROLEES","7054","12.58%"
"TVC Parole","181","0.32%"
"PROBATIONERS","27234","48.59%"
"TVC Probation","153","0.27%"
"PAROLEE AND PROBATIONER TOTAL","34622","61.77%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","56052","100.00%"
