"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19237","35.14%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1427","2.61%"
"Other Custody","476",".87%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21172","38.67%"
"PAROLEES","8902","16.26%"
"TVC Parole","281","0.51%"
"PROBATIONERS","24251","44.30%"
"TVC Probation","141","0.26%"
"PAROLEE AND PROBATIONER TOTAL","33575","61.33%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54747","100.00%"
