"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18563","28.08%"
"Community Corrections (ERS, ISP, Medical Release)","2141","3.24%"
"Other Custody","536",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21274","32.18%"
"PAROLEES","9344","14.13%"
"TVC Parole","350","0.53%"
"PROBATIONERS","34981","52.91%"
"TVC Probation","164","0.25%"
"PAROLEE AND PROBATIONER TOTAL","44839","67.82%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","66113","100.00%"
