"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19787","30.43%"
"Community Corrections (ERS, ISP, Medical Release)","2804","4.31%"
"Other Custody","491",".76%"
"At Large (Escapees & Walk-Aways)","29",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","23119","35.56%"
"PAROLEES","9156","14.08%"
"TVC Parole","175","0.27%"
"PROBATIONERS","32463","49.93%"
"TVC Probation","103","0.16%"
"PAROLEE AND PROBATIONER TOTAL","41897","64.44%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65016","100.00%"
