"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","17,429","32.39%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,396","2.59%"
"Other Custody","465",".86%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","19,325","35.91%"
"PAROLEES","9,286","17.26%"
"TVC Parole","16","0.03%"
"PROBATIONERS","25,112","46.66%"
"TVC Probation","76","0.14%"
"PAROLEE AND PROBATIONER TOTAL","34,490","64.09%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,815","100.00%"
