"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","17,547","32.41%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,415","2.61%"
"Other Custody","470",".87%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","19,465","35.95%"
"PAROLEES","9,420","17.40%"
"TVC Parole","1","0.00%"
"PROBATIONERS","25,214","46.57%"
"TVC Probation","44","0.08%"
"PAROLEE AND PROBATIONER TOTAL","34,679","64.05%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,144","100.00%"
