"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19136","35.72%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1376","2.57%"
"Other Custody","467",".87%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21015","39.22%"
"PAROLEES","8834","16.49%"
"TVC Parole","328","0.61%"
"PROBATIONERS","23284","43.46%"
"TVC Probation","116","0.22%"
"PAROLEE AND PROBATIONER TOTAL","32562","60.78%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53577","100.00%"
