"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18522","29.04%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1704","2.67%"
"Other Custody","518",".81%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","2",".00%"
"INMATE TOTAL","20773","32.57%"
"PAROLEES","8459","13.26%"
"TVC Parole","375","0.59%"
"PROBATIONERS","33998","53.31%"
"TVC Probation","170","0.27%"
"PAROLEE AND PROBATIONER TOTAL","43002","67.43%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63775","100.00%"
