"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18780","34.57%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1351","2.49%"
"Other Custody","506",".93%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20674","38.05%"
"PAROLEES","7792","14.34%"
"TVC Parole","59","0.11%"
"PROBATIONERS","25672","47.25%"
"TVC Probation","131","0.24%"
"PAROLEE AND PROBATIONER TOTAL","33654","61.95%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","54328","100.00%"
