"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19234","36.03%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1361","2.55%"
"Other Custody","445",".83%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","21078","39.48%"
"PAROLEES","8720","16.33%"
"TVC Parole","288","0.54%"
"PROBATIONERS","23166","43.40%"
"TVC Probation","131","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32305","60.52%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53383","100.00%"
