"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18524","28.11%"
"Community Corrections (ERS, ISP, Medical Release)","2045","3.10%"
"Other Custody","529",".80%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","21134","32.07%"
"PAROLEES","9180","13.93%"
"TVC Parole","352","0.53%"
"PROBATIONERS","35092","53.24%"
"TVC Probation","149","0.23%"
"PAROLEE AND PROBATIONER TOTAL","44773","67.93%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65907","100.00%"
