"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","18964","35.02%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1340","2.47%"
"Other Custody","457",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","20800","38.41%"
"PAROLEES","8895","16.43%"
"TVC Parole","149","0.28%"
"PROBATIONERS","24223","44.74%"
"TVC Probation","79","0.15%"
"PAROLEE AND PROBATIONER TOTAL","33346","61.59%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54146","100.00%"
