"Offense","Black","White","Hispanic","Other","Total","Percent"
"Aggravated Assault","957","280","6","4","1,247","5.80%"
"Burglary","1,644","993","12","14","2,663","12.39%"
"Homicide","1,174","430","11","4","1,619","7.53%"
"Manslaughter","767","176","8","2","953","4.43%"
"Sell/Manufacture/Distribute Drugs","1,671","433","6","1","2,111","9.82%"
"Possession/Drugs with Intent","610","500","22","6","1,138","5.29%"
"Possession of Drugs","1,340","644","17","7","2,008","9.34%"
"Property","1,643","1,243","19","8","2,913","13.55%"
"Robbery","2,629","422","5","4","3,060","14.24%"
"Sex Offense","1,429","1,363","44","15","2,851","13.26%"
"Violent","559","355","12","5","931","4.33%"
"Total","14,423","6,839","162","70","21,494","100.00%"
