"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5396","5043","35.30%"
"Central Mississippi Correctional Facility","3233","3153","22.07%"
"South Mississippi Correctional Institution","2214","2167","15.17%"
"County Jails - Approved*","2224","1895","13.27%"
"County Jails - Unapproved**","0","273","1.91%"
"Community Work Centers","1816","1754","12.28%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14883","14285","100.00%"
"Bolivar County Correctional Facility","250","249","9.08%"
"Carroll County Correctional Facility","250","251","9.15%"
"GeorgeCounty Correctional Facility","250","248","9.04%"
"Holmes County Correctional Facility","250","250","9.12%"
"Issaquena County Correctional Facility","250","250","9.12%"
"Jefferson County Correctional Facility","250","250","9.12%"
"Kemper County Correctional Facility","250","249","9.08%"
"Leake Correctional Facility","250","249","9.08%"
"Marion County Correctional Facility","250","250","9.12%"
"Stone County Correctional Facility","250","248","9.04%"
"Winston County Correctional Facility","250","248","9.04%"
"REGIONAL FACILITIES","2750","2742","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","950","734",""
"East MS Correctional Facility","1000","726","17.39%"
"Marshall County Correctional Facility","1000","993","23.78%"
"Walnut Grove Correctional Facility","750","727","17.41%"
"Wilkinson County Correctional Facility","1000","995","23.83%"
"TOTAL PRIVATE PRISONS","4700","4175","82.42%"
"Community Trusties","30","24","0.10%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22363","21226","88.09%"
"Intensive Supervision Program","0","1301","5.40%"
"Earned Release Supervision Program","0","1297","5.38%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2598","10.78%"
"Other Custody","0","228","0.95%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","44","0.18%"
"TOTAL","22363","24096","100.00%"
