"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary (capacity decreased by 60 on Oct 25)","4760","4693","34.33%"
"Central Mississippi Correctional Facility","3233","3146","23.01%"
"South Mississippi Correctional Institution","2214","2163","15.82%"
"County Jails - Approved*","2203","1645","12.03%"
"County Jails - Unapproved**","0","303","2.22%"
"Community Work Centers","1816","1720","12.58%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14226","13670","100.00%"
"Bolivar County Correctional Facility","250","249","9.11%"
"Carroll County Correctional Facility","250","250","9.14%"
"George County Correctional Facility","250","242","8.85%"
"Holmes County Correctional Facility","250","249","9.11%"
"Issaquena County Correctional Facility","250","249","9.11%"
"Jefferson County Correctional Facility","250","250","9.14%"
"Kemper County Correctional Facility","250","250","9.14%"
"Leake Correctional Facility","250","249","9.11%"
"Marion County Correctional Facility","250","248","9.07%"
"Stone County Correctional Facility","250","249","9.11%"
"Winston County Correctional Facility","250","249","9.11%"
"REGIONAL FACILITIES","2750","2734","100.00%"
"Delta Correctional Facility","960","957","20.44%"
"East MS Correctional Facility","1000","865","18.48%"
"Marshall County Correctional Facility","1000","991","21.17%"
"Tallahatchie County Correctional Facility (Opened Oct 25 2004)","128","56","1.20%"
"Walnut Grove Correctional Facility","1000","826","17.64%"
"Wilkinson County Correctional Facility","1000","987","21.08%"
"TOTAL PRIVATE PRISONS","5088","4682","100.00%"
"Community Trusties","24","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Court Order","00","00","0.00%"
"Pending File Review","0","185","0.76%"
"TOTAL CAPACITY & CUSTODY POPULATION","22088","21289","87.06%"
"Intensive Supervision Program","0","1258","5.14%"
"Earned Release Supervision Program","0","1566","6.40%"
"Medical Release","0","3","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","2827","11.56%"
"Other Custody","0","248","1.01%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","80","0.33%"
"TOTAL","22088","24453","100.00%"
