"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4159","28.86%"
"Central Mississippi Correctional Facility","3665","3732","25.90%"
"South Mississippi Correctional Institution","3204","3087","21.42%"
"County Jails - Approved*","1662","1428","9.91%"
"County Jails - Unapproved**","0","227","1.58%"
"Community Work Centers","1848","1779","12.34%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14906","14412","100.00%"
"Bolivar County Correctional Facility","294","292","9.49%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","278","9.03%"
"Holmes County Correctional Facility","280","280","9.10%"
"Issaquena County Correctional Facility","274","275","8.93%"
"Jefferson County Correctional Facility","280","277","9.00%"
"Kemper County Correctional Facility","280","278","9.03%"
"Leake County Correctional Facility","280","280","9.10%"
"Marion County Correctional Facility","280","278","9.03%"
"Stone County Correctional Facility","280","279","9.06%"
"Winston County Correctional Facility","280","281","9.13%"
"TOTAL REGIONAL FACILITIES","3088","3078","100.00%"
"Delta Correctional Facility","972","970","20.17%"
"East MS Correctional Facility","1000","894","18.59%"
"Marshall County Correctional Facility","1000","996","20.71%"
"Walnut Grove Correctional Facility","1000","959","19.94%"
"Wilkinson County Correctional Facility","1000","990","20.59%"
"TOTAL PRIVATE PRISONS","4972","4809","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","44","0.17%"
"Court Order","0","379","1.45%"
"TOTAL CAPACITY & CUSTODY POPULATION","22988","22739","87.25%"
"Intensive Supervision Program","0","1166","4.47%"
"Earned Release Supervision Program","00","1774","6.81%"
"Medical Release","0","15","0.06%"
"TOTAL COMMUNITY CORRECTIONS","00","2955","11.34%"
"Other Custody","0","300","1.15%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","63","0.24%"
"TOTAL","22988","26063","100.00%"
