"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,648","3,370","25.32%"
"Central Mississippi Correctional Facility","3,557","3,282","24.66%"
"South Mississippi Correctional Institution","3,282","3,227","24.25%"
"Youthful Offender Facility","42","38","0.29%"
"County Jails - Approved*","1,882","1,513","11.37%"
"County Jails - Unapproved**","0","477","3.58%"
"Community Work Centers","1,848","1,401","10.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,259","13,308","100.00%"
"Alcorn County Correctional Facility","300","296","6.67%"
"Bolivar County Correctional Facility","369","368","8.30%"
"Carroll County Correctional Facility","280","280","6.31%"
"Chickasaw County Correctional Facility","300","298","6.72%"
"George County Correctional Facility","280","280","6.31%"
"Holmes County Correctional Facility","280","280","6.31%"
"Issaquena County Correctional Facility","274","274","6.18%"
"Jefferson County Correctional Facility","280","282","6.36%"
"Kemper County Correctional Facility","355","355","8.00%"
"Leake County Correctional Facility","280","280","6.31%"
"Marion County Correctional Facility","280","280","6.31%"
"Stone County Correctional Facility","280","281","6.33%"
"Washington County Correctional Facility","300","300","6.76%"
"Winston County Correctional Facility","280","280","6.31%"
"Yazoo County Correctional Facility","300","302","6.81%"
"TOTAL REGIONAL FACILITIES","4,438","4,436","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,199","27.30%"
"Marshall County Correctional Facility","1,000","998","22.72%"
"Walnut Grove Correctional Facility","1,500","1,303","29.67%"
"Wilkinson County Correctional Facility","1,000","892","20.31%"
"TOTAL PRIVATE PRISONS","5,972","4,392","100.00%"
"Community Trusties","22","10",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","41",".16%"
"Court Order","0","294","1.12%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,691","22,481","85.71%"
"Intensive Supervision Program","0","1,581","6.03%"
"Earned Release Supervision Program","0","1,631","6.22%"
"Medical Release","0","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3,235","12.33%"
"Other Custody","0","474","1.81%"
"Off-Grounds Medical (Hospital)","0000","7",".03%"
"At Large (Escapees & Walk-Aways)","0","31",".12%"
"TOTAL","25,691","26,228","100.00%"
