"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5359","40.23%"
"Central Mississippi Correctional Facility","3215","2985","22.41%"
"South Mississippi Correctional Institution","2214","2049","15.38%"
"County Jails - Approved*","3333","1548","11.62%"
"County Jails - Unapproved**","0","72","0.54%"
"Community Work Centers","1322","1309","9.83%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15635","13322","100.00%"
"Bolivar County Correctional Facility","250","0","0.00%"
"Carroll County Correctional Facility","250","203","10.03%"
"George County Correctional Facility","250","200","9.88%"
"Holmes County Correctional Facility","250","202","9.98%"
"Issaquena County Correctional Facility","250","204","10.08%"
"Jefferson County Correctional Facility","250","203","10.03%"
"Kemper County Correctional Facility","250","200","9.88%"
"Leake Correctional Facility","250","206","10.18%"
"Marion County Correctional Facility","250","202","9.98%"
"Stone County Correctional Facility","250","202","9.98%"
"Winston County Correctional Facility","250","202","9.98%"
"TOTAL REGIONAL FACILITIES","2750","2024","100.00%"
"Delta Correctional Facility","1000","828","22.51%"
"East MS Correctional Facility","1000","503","13.68%"
"Marshall County Correctional Facility","1000","910","24.74%"
"Walnut Grove Correctional Facility","750","543","14.76%"
"Wilkinson County Correctional Facility","1000","894","24.31%"
"TOTAL PRIVATE PRISONS","4750","3678","100.00%"
"Community Trusties","30","21","0.09%"
"Emergency Suspension","0","10","0.05%"
"Court Order","0","235","1.06%"
"TOTAL CAPACITY & CUSTODY POPULATION","23165","19290","87.22%"
"Intensive Supervision Program","0","1453","6.57%"
"Earned Release Supervision Program","0","1046","4.73%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2499","11.30%"
"Other Custody","0","230","1.04%"
"University of MS Medical Center","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","89","0.40%"
"TOTAL","23165","22117","100.00%"
