"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3159","25.24%"
"Central Mississippi Correctional Facility","3449","3212","25.66%"
"South Mississippi Correctional Institution","3204","3133","25.03%"
"County Jails - Approved*","1680","1264","10.10%"
"County Jails - Unapproved**","0","258","2.06%"
"Community Work Centers","1848","1492","11.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13537","12518","100.00%"
"Bolivar County Correctional Facility","294","233","7.72%"
"Carroll County Correctional Facility","280","224","7.42%"
"Chickasaw County Correctional Facility","300","248","8.21%"
"George County Correctional Facility","280","222","7.35%"
"Holmes County Correctional Facility","280","224","7.42%"
"Issaquena County Correctional Facility","274","218","7.22%"
"Jefferson County Correctional Facility","280","223","7.39%"
"Kemper County Correctional Facility","355","284","9.41%"
"Leake County Correctional Facility","280","224","7.42%"
"Marion County Correctional Facility","280","224","7.42%"
"Stone County Correctional Facility","280","222","7.35%"
"Winston County Correctional Facility","280","223","7.39%"
"Yazoo County Correctional Facility","300","250","8.28%"
"TOTAL REGIONAL FACILITIES","3763","3019","100.00%"
"Delta Correctional Facility","972","899","17.55%"
"East MS Correctional Facility","1500","1350","26.35%"
"Marshall County Correctional Facility","1000","998","19.48%"
"Walnut Grove Correctional Facility","1500","995","19.42%"
"Wilkinson County Correctional Facility","1000","881","17.20%"
"TOTAL PRIVATE PRISONS","5972","5123","100.00%"
"Community Trusties","22","16",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","107",".43%"
"Court Order","0","304","1.23%"
"TOTAL CAPACITY & CUSTODY POPULATION","23294","21087","85.56%"
"Intensive Supervision Program","0","1642","6.66%"
"Earned Release Supervision Program","0","1446","5.87%"
"Medical Release","00","37",".15%"
"TOTAL COMMUNITY CORRECTIONS","00","3125","12.68%"
"Other Custody","0","386","1.57%"
"Off-Grounds Medical (Hospital)","0","10",".04%"
"At Large (Escapees & Walk-Aways)","00","38",".15%"
"TOTAL","23294","24646","100.00%"
