"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3215","26.22%"
"Central Mississippi Correctional Facility","3449","3118","25.43%"
"South Mississippi Correctional Institution","3204","3169","25.84%"
"County Jails - Approved*","1543","1121","9.14%"
"County Jails - Unapproved**","0","210","1.71%"
"Community Work Centers","1848","1429","11.65%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14479","12262","100.00%"
"Bolivar County Correctional Facility","294","231","7.71%"
"Carroll County Correctional Facility","280","224","7.48%"
"Chickasaw County Correctional Facility","300","235","7.85%"
"George County Correctional Facility","280","225","7.51%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","220","7.35%"
"Jefferson County Correctional Facility","280","223","7.45%"
"Kemper County Correctional Facility","355","283","9.45%"
"Leake County Correctional Facility","280","226","7.55%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","222","7.41%"
"Winston County Correctional Facility","280","224","7.48%"
"Yazoo County Correctional Facility","300","234","7.81%"
"TOTAL REGIONAL FACILITIES","3763","2995","100.00%"
"Delta Correctional Facility","972","902","17.32%"
"East MS Correctional Facility","1500","1357","26.05%"
"Marshall County Correctional Facility","1000","921","17.68%"
"Walnut Grove Correctional Facility","1500","1142","21.92%"
"Wilkinson County Correctional Facility","1000","887","17.03%"
"TOTAL PRIVATE PRISONS","5972","5209","100.00%"
"Community Trusties","22","15",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","98",".40%"
"Court Order","0","318","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","24236","20897","85.41%"
"Intensive Supervision Program","0","1648","6.74%"
"Earned Release Supervision Program","00","1459","5.96%"
"Medical Release","0","42",".17%"
"TOTAL COMMUNITY CORRECTIONS","00","3149","12.87%"
"Other Custody","0","375","1.53%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","0","39",".16%"
"TOTAL","24236","24468","100.00%"
