"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,648","3,396","25.25%"
"Central Mississippi Correctional Facility","3,557","3,300","24.54%"
"South Mississippi Correctional Institution","3,282","3,226","23.99%"
"Youthful Offender Facility","42","33","0.25%"
"County Jails - Approved*","1,872","1,551","11.53%"
"County Jails - Unapproved**","0","446","3.32%"
"Community Work Centers","1,848","1,495","11.12%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,447","100.00%"
"Alcorn County Correctional Facility","300","298","6.74%"
"Bolivar County Correctional Facility","369","368","8.32%"
"Carroll County Correctional Facility","280","279","6.31%"
"Chickasaw County Correctional Facility","300","298","6.74%"
"George County Correctional Facility","280","276","6.24%"
"Holmes County Correctional Facility","280","280","6.33%"
"Issaquena County Correctional Facility","274","274","6.20%"
"Jefferson County Correctional Facility","280","279","6.31%"
"Kemper County Correctional Facility","355","354","8.01%"
"Leake County Correctional Facility","280","281","6.35%"
"Marion County Correctional Facility","280","279","6.31%"
"Stone County Correctional Facility","280","279","6.31%"
"Washington County Correctional Facility","300","297","6.72%"
"Winston County Correctional Facility","280","281","6.35%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4,438","4,422","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,122","26.06%"
"Marshall County Correctional Facility","1,000","998","23.18%"
"Walnut Grove Correctional Facility","1,500","1,296","30.10%"
"Wilkinson County Correctional Facility","1,000","890","20.67%"
"TOTAL PRIVATE PRISONS","5,972","4,306","100.00%"
"Community Trusties","22","10",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","80",".30%"
"Court Order","0","361","1.36%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,626","85.45%"
"Intensive Supervision Program","0","1,624","6.13%"
"Earned Release Supervision Program","0","1,675","6.33%"
"Medical Release","0","24",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3,323","12.55%"
"Other Custody","0","487","1.84%"
"Off-Grounds Medical (Hospital)","0000","12",".05%"
"At Large (Escapees & Walk-Aways)","0","32",".12%"
"TOTAL","25,681","26,480","100.00%"
