"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3338","25.29%"
"Central Mississippi Correctional Facility","3557","3156","23.91%"
"South Mississippi Correctional Institution","3282","3219","24.39%"
"Youthful Offender Facility","42","26","0.20%"
"County Jails - Approved*","1872","1540","11.67%"
"County Jails - Unapproved**","0","397","3.01%"
"Community Work Centers","1848","1522","11.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15249","13198","100.00%"
"Alcorn County Correctional Facility","300","294","6.76%"
"Bolivar County Correctional Facility","369","369","8.48%"
"Carroll County Correctional Facility","280","279","6.41%"
"Chickasaw County Correctional Facility","300","299","6.87%"
"George County Correctional Facility","280","278","6.39%"
"Holmes County Correctional Facility","280","280","6.44%"
"Issaquena County Correctional Facility","274","274","6.30%"
"Jefferson County Correctional Facility","280","277","6.37%"
"Kemper County Correctional Facility","355","339","7.79%"
"Leake County Correctional Facility","280","280","6.44%"
"Marion County Correctional Facility","280","280","6.44%"
"Stone County Correctional Facility","280","278","6.39%"
"Washington County Correctional Facility","300","245","5.63%"
"Winston County Correctional Facility","280","281","6.46%"
"Yazoo County Correctional Facility","300","298","6.85%"
"TOTAL REGIONAL FACILITIES","4438","4351","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1122","26.01%"
"Marshall County Correctional Facility","1000","996","23.09%"
"Walnut Grove Correctional Facility","1500","1293","29.97%"
"Wilkinson County Correctional Facility","1000","903","20.93%"
"TOTAL PRIVATE PRISONS","5972","4314","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".26%"
"Court Order","0","339","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","25681","22281","85.63%"
"Intensive Supervision Program","0","1566","6.02%"
"Earned Release Supervision Program","0","1624","6.24%"
"Medical Release","0","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3217","12.36%"
"Other Custody","0","478","1.84%"
"Off-Grounds Medical (Hospital)","0","11",".04%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25681","26021","100.00%"
