"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3355","25.64%"
"Central Mississippi Correctional Facility","3557","3264","24.95%"
"South Mississippi Correctional Institution","3282","3217","24.59%"
"Youthful Offender Facility","42","22","0.17%"
"County Jails - Approved*","1832","1474","11.27%"
"County Jails - Unapproved**","0","299","2.29%"
"Community Work Centers","1848","1452","11.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15209","13083","100.00%"
"Alcorn County Correctional Facility","300","299","6.98%"
"Bolivar County Correctional Facility","369","366","8.55%"
"Carroll County Correctional Facility","280","280","6.54%"
"Chickasaw County Correctional Facility","300","300","7.01%"
"George County Correctional Facility","280","278","6.49%"
"Holmes County Correctional Facility","280","277","6.47%"
"Issaquena County Correctional Facility","274","273","6.38%"
"Jefferson County Correctional Facility","280","280","6.54%"
"Kemper County Correctional Facility","355","279","6.52%"
"Leake County Correctional Facility","280","275","6.42%"
"Marion County Correctional Facility","280","279","6.52%"
"Stone County Correctional Facility","280","279","6.52%"
"Washington County Correctional Facility","300","245","5.72%"
"Winston County Correctional Facility","280","273","6.38%"
"Yazoo County Correctional Facility","300","298","6.96%"
"TOTAL REGIONAL FACILITIES","4438","4281","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1115","26.09%"
"Marshall County Correctional Facility","1000","992","23.22%"
"Walnut Grove Correctional Facility","1500","1266","29.63%"
"Wilkinson County Correctional Facility","1000","900","21.06%"
"TOTAL PRIVATE PRISONS","5972","4273","100.00%"
"Community Trusties","22","10",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".24%"
"Court Order","0","422","1.63%"
"TOTAL CAPACITY & CUSTODY POPULATION","25641","22132","85.38%"
"Intensive Supervision Program","0","1657","6.39%"
"Earned Release Supervision Program","0","1602","6.18%"
"Medical Release","0","28",".11%"
"TOTAL COMMUNITY CORRECTIONS","0","3287","12.68%"
"Other Custody","0","458","1.77%"
"Off-Grounds Medical (Hospital)","0000","11",".04%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25641","25922","100.00%"
