"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3357","13.03%"
"Central Mississippi Correctional Facility","3557","3220","12.50%"
"South Mississippi Correctional Institution","3282","3187","12.37%"
"Youthful Offender Facility","42","37","0.14%"
"County Jails - Approved*","2017","1521","5.90%"
"County Jails - Unapproved**","0","135","0.52%"
"Community Work Centers","1848","1344","5.22%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15394","12801","49.69%"
"Alcorn County Correctional Facility","300","293","1.14%"
"Bolivar County Correctional Facility","369","369","1.43%"
"Carroll County Correctional Facility","280","279","1.08%"
"Chickasaw County Correctional Facility","300","300","1.16%"
"George County Correctional Facility","280","279","1.08%"
"Holmes County Correctional Facility","280","279","1.08%"
"Issaquena County Correctional Facility","274","273","1.06%"
"Jefferson County Correctional Facility","280","277","1.08%"
"Kemper County Correctional Facility","355","354","1.37%"
"Leake County Correctional Facility","280","280","1.09%"
"Marion County Correctional Facility","280","279","1.08%"
"Stone County Correctional Facility","280","280","1.09%"
"Washington County Correctional Facility","300","296","1.15%"
"Winston County Correctional Facility","280","278","1.08%"
"Yazoo County Correctional Facility","300","298","1.16%"
"TOTAL REGIONAL FACILITIES","4438","4414","17.14%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1197","4.65%"
"Marshall County Correctional Facility","1000","996","3.87%"
"Walnut Grove Correctional Facility","1500","1294","5.02%"
"Wilkinson County Correctional Facility","1000","900","3.49%"
"TOTAL PRIVATE PRISONS","5972","4387","17.03%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","82",".32%"
"Court Order","0","311","1.21%"
"TOTAL CAPACITY & CUSTODY POPULATION","25826","22008","1.58%"
"Intensive Supervision Program","0","1549","6.01%"
"Earned Release Supervision Program","0","1651","6.41%"
"Medical Release","0","22","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","3222","12.51%"
"Other Custody","0","486","1.89%"
"Off-Grounds Medical (Hospital)","0000","13","0.05%"
"At Large (Escapees & Walk-Aways)","0","31","0.12%"
"TOTAL","25826","25760","100.00%"
