"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3373","15.74%"
"Central Mississippi Correctional Facility","3696","3176","14.82%"
"South Mississippi Correctional Institution","3082","2984","13.92%"
"Youthful Offender Facility","58","30","0.14%"
"County Jails - Approved*","1781","881","4.11%"
"County Jails - Unapproved**","0","366","1.71%"
"Community Work Centers","1700","885","4.13%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13907","11695","54.57%"
"Alcorn County Correctional Facility","300","237","1.11%"
"Bolivar County Correctional Facility","369","294","1.37%"
"Carroll County Correctional Facility","280","239","1.12%"
"Chickasaw County Correctional Facility","300","239","1.12%"
"George County Correctional Facility","280","201","0.94%"
"Holmes County Correctional Facility","280","193","0.90%"
"Issaquena County Correctional Facility","274","274","1.28%"
"Jefferson County Correctional Facility","280","271","1.26%"
"Kemper County Correctional Facility","355","262","1.22%"
"Leake County Correctional Facility","280","202","0.94%"
"Marion County Correctional Facility","280","200","0.93%"
"Stone County Correctional Facility","280","265","1.24%"
"Washington County Correctional Facility","300","222","1.04%"
"Winston County Correctional Facility","280","198","0.92%"
"Yazoo County Correctional Facility","300","238","1.11%"
"TOTAL REGIONAL FACILITIES","4438","3535","16.50%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1162","5.42%"
"Marshall County Correctional Facility","1000","998","4.66%"
"Walnut Grove Correctional Facility","1500","720","3.36%"
"Wilkinson County Correctional Facility","1000","890","4.15%"
"TOTAL PRIVATE PRISONS","5972","3770","17.59%"
"Community Trusties","16","47",".22%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","107",".50%"
"Court Order","0","270","1.26%"
"TOTAL CAPACITY & CUSTODY POPULATION","24317","19424","90.64%"
"Intensive Supervision Program","0","700","3.27%"
"Earned Release Supervision Program","0","707","3.30%"
"Transitional Housing","0","3","0.01%"
"Conditional Release","0","2","0.01%"
"RRP","0","2","0.01%"
"TVC","0","9","0.04%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1437","6.71%"
"Other Custody","0","535","2.50%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","24317","21430","100.00%"
