"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3912","30.03%"
"Central Mississippi Correctional Facility","3665","3008","23.09%"
"South Mississippi Correctional Institution","3204","3084","23.68%"
"County Jails - Approved*","1466","1083","8.31%"
"County Jails - Unapproved**","0","199","1.53%"
"Community Work Centers","1848","1739","13.35%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14618","13025","100.00%"
"Bolivar County Correctional Facility","294","255","9.37%"
"Carroll County Correctional Facility","280","242","8.89%"
"George County Correctional Facility","280","240","8.82%"
"Holmes County Correctional Facility","280","239","8.78%"
"Issaquena County Correctional Facility","274","236","8.67%"
"Jefferson County Correctional Facility","280","240","8.82%"
"Kemper County Correctional Facility","355","307","11.28%"
"Leake County Correctional Facility","280","241","8.86%"
"Marion County Correctional Facility","280","241","8.86%"
"Stone County Correctional Facility","280","241","8.86%"
"Winston County Correctional Facility","280","239","8.78%"
"TOTAL REGIONAL FACILITIES","3163","2721","100.00%"
"Delta Correctional Facility","972","896","17.21%"
"East MS Correctional Facility","1500","1264","24.28%"
"Marshall County Correctional Facility","1000","899","17.27%"
"Walnut Grove Correctional Facility","1500","1199","23.03%"
"Wilkinson County Correctional Facility","1000","948","18.21%"
"TOTAL PRIVATE PRISONS","5972","5206","100.00%"
"Community Trusties","2","16","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","74","0.30%"
"Court Order","0","257","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","23775","21299","86.82%"
"Intensive Supervision Program","0","1440","5.87%"
"Earned Release Supervision Program","0","1348","5.49%"
"Medical Release","00","36","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2824","11.51%"
"Other Custody","0","349","1.42%"
"Off-Grounds Medical (Hospital)","0","17","0.07%"
"At Large (Escapees & Walk-Aways)","0","43","0.18%"
"TOTAL","23775","24532","100.00%"
