"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3290","25.37%"
"Central Mississippi Correctional Facility","3665","3099","23.90%"
"South Mississippi Correctional Institution","3282","3193","24.62%"
"County Jails - Approved*","1678","1253","9.66%"
"County Jails - Unapproved**","0","531","4.09%"
"Community Work Centers","1848","1603","12.36%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15121","12969","100.00%"
"Alcorn County Correctional Facility","300","293","6.72%"
"Bolivar County Correctional Facility","369","370","8.49%"
"Carroll County Correctional Facility","280","280","6.42%"
"Chickasaw County Correctional Facility","300","300","6.88%"
"George County Correctional Facility","280","280","6.42%"
"Holmes County Correctional Facility","280","279","6.40%"
"Issaquena County Correctional Facility","274","275","6.31%"
"Jefferson County Correctional Facility","280","277","6.36%"
"Kemper County Correctional Facility","355","343","7.87%"
"Leake County Correctional Facility","280","280","6.42%"
"Marion County Correctional Facility","280","280","6.42%"
"Stone County Correctional Facility","280","281","6.45%"
"Washington County Correctional Facility","300","239","5.48%"
"Winston County Correctional Facility","280","283","6.49%"
"Yazoo County Correctional Facility","300","298","6.84%"
"TOTAL REGIONAL FACILITIES","4438","4358","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1357","31.54%"
"Marshall County Correctional Facility","1000","996","23.15%"
"Walnut Grove Correctional Facility","1500","1049","24.38%"
"Wilkinson County Correctional Facility","1000","900","20.92%"
"TOTAL PRIVATE PRISONS","5972","4302","100.00%"
"Community Trusties","22","11",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","91",".35%"
"Court Order","0","300","1.16%"
"TOTAL CAPACITY & CUSTODY POPULATION","25553","22031","85.49%"
"Intensive Supervision Program","0","1617","6.27%"
"Earned Release Supervision Program","0","1605","6.23%"
"Medical Release","00","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3244","12.59%"
"Other Custody","0000","446","1.73%"
"Off-Grounds Medical (Hospital)","0","14",".05%"
"At Large (Escapees & Walk-Aways)","0","36",".14%"
"TOTAL","25553","25771","100.00%"
