"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5302","41.08%"
"Central Mississippi Correctional Facility","3049","2934","22.73%"
"South Mississippi Correctional Institution","2214","2043","15.83%"
"County Jails - Approved*","2137","1314","10.18%"
"County Jails - Unapproved**","0","36","0.28%"
"Community Work Centers","1328","1279","9.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14279","12908","100.00%"
"Bolivar County Correctional Facility","250","1","0.05%"
"Carroll County Correctional Facility","250","227","11.35%"
"Holmes County Correctional Facility","250","219","10.95%"
"Issaquena County Correctional Facility","250","209","10.45%"
"Jefferson County Correctional Facility","250","231","11.55%"
"Kemper County Correctional Facility","250","239","11.95%"
"Leake Correctional Facility","250","216","10.80%"
"Marion County Correctional Facility","250","221","11.05%"
"Stone County Correctional Facility","250","218","10.90%"
"Winston County Correctional Facility","250","219","10.95%"
"Regional Facilities","2500","2000","100.00%"
"Delta Correctional Facility","1000","863","24.05%"
"East MS Correctional Facility","500","501","13.96%"
"Marshall County Correctional Facility","1000","889","24.78%"
"Walnut Grove Correctional Facility","500","456","12.71%"
"Wilkinson County Correctional Facility","900","879","24.50%"
"TOTAL PRIVATE PRISONS","3900","3588","100.00%"
"Community Trusties","30","23","0.11%"
"Emergency Suspension","0","9","0.04%"
"Court Order","0","238","1.11%"
"TOTAL CAPACITY & CUSTODY POPULATION","20709","18766","87.71%"
"Intensive Supervision Program","0","1353","6.32%"
"Earned Release Supervision Program","0","991","4.63%"
"Medical Release","0","0","0.00%"
"Community Corrections","0","2344","10.96%"
"Other Custody","0","202","0.94%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","78","0.36%"
"TOTAL","20709","21396","100.00%"
