"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5711","5530","40.42%"
"Central Mississippi Correctional Facility","3099","3064","22.39%"
"South Mississippi Correctional Institution","2214","2073","15.15%"
"County Jails - Approved*","2121","1655","12.10%"
"County Jails - Unapproved**","0","78","0.57%"
"Community Work Centers","1350","1283","9.38%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14495","13683","100.00%"
"Bolivar County Correctional Facility","250","223","8.98%"
"Carroll County Correctional Facility","250","228","9.18%"
"GeorgeCounty Correctional Facility","250","226","9.10%"
"Holmes County Correctional Facility","250","228","9.18%"
"Issaquena County Correctional Facility","250","225","9.06%"
"Jefferson County Correctional Facility","250","227","9.14%"
"Kemper County Correctional Facility","250","225","9.06%"
"Leake Correctional Facility","250","226","9.10%"
"Marion County Correctional Facility","250","226","9.10%"
"Stone County Correctional Facility","250","225","9.06%"
"Winston County Correctional Facility","250","225","9.06%"
"REGIONAL FACILITIES","2750","2484","100.00%"
"East MS Correctional Facility","1000","719","21.07%"
"Marshall County Correctional Facility","1000","985","28.87%"
"Walnut Grove Correctional Facility","750","728","21.34%"
"Wilkinson County Correctional Facility","1000","980","28.72%"
"TOTAL PRIVATE PRISONS","3750","3412","100.00%"
"Community Trusties","30","20","0.09%"
"Emergency Suspension","0","14","0.06%"
"Court Order","0","292","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","21025","19905","87.48%"
"Intensive Supervision Program","0","1473","6.47%"
"Earned Release Supervision Program","0","1038","4.56%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2511","11.04%"
"Other Custody","0","238","1.05%"
"University of MS Medical Center","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","92","0.40%"
"TOTAL","21025","22754","100.00%"
