"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3920","30.71%"
"Central Mississippi Correctional Facility","3665","3284","25.73%"
"South Mississippi Correctional Institution","3204","2721","21.32%"
"County Jails - Approved*","1487","1124","8.81%"
"County Jails - Unapproved**","0","227","1.78%"
"Community Work Centers","1848","1488","11.66%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14639","12764","100.00%"
"Bolivar County Correctional Facility","294","281","9.35%"
"Carroll County Correctional Facility","280","265","8.82%"
"George County Correctional Facility","280","264","8.79%"
"Holmes County Correctional Facility","280","266","8.85%"
"Issaquena County Correctional Facility","274","260","8.66%"
"Jefferson County Correctional Facility","280","265","8.82%"
"Kemper County Correctional Facility","355","340","11.32%"
"Leake County Correctional Facility","280","266","8.85%"
"Marion County Correctional Facility","280","265","8.82%"
"Stone County Correctional Facility","280","266","8.85%"
"Winston County Correctional Facility","280","266","8.85%"
"TOTAL REGIONAL FACILITIES","3163","3004","100.00%"
"Delta Correctional Facility","972","956","17.28%"
"East MS Correctional Facility","1500","1360","24.58%"
"Marshall County Correctional Facility","1000","981","17.73%"
"Walnut Grove Correctional Facility","1500","1261","22.79%"
"Wilkinson County Correctional Facility","1000","976","17.64%"
"TOTAL PRIVATE PRISONS","5972","5534","100.00%"
"Community Trusties","2","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","48","0.19%"
"Court Order","0","219","0.88%"
"TOTAL CAPACITY & CUSTODY POPULATION","23796","21585","86.84%"
"Intensive Supervision Program","0","1344","5.41%"
"Earned Release Supervision Program","00","1479","5.95%"
"Medical Release","0","37","0.15%"
"TOTAL COMMUNITY CORRECTIONS","0","2860","11.51%"
"Other Custody","0","357","1.44%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","46","0.19%"
"TOTAL","23796","24857","100.00%"
