"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5,768","5,694","40.48%"
"Central Mississippi Correctional Facility","3,233","3,127","22.23%"
"South Mississippi Correctional Institution","2,214","2,135","15.18%"
"County Jails - Approved*","2,176","1,527","10.86%"
"County Jails - Unapproved**","0","58","0.41%"
"Community Work Centers","1816","1,525","10.84%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,207","14,066","100.00%"
"Bolivar County Correctional Facility","250","235","9.06%"
"Carroll County Correctional Facility","250","236","9.10%"
"GeorgeCounty Correctional Facility","250","235","9.06%"
"Holmes County Correctional Facility","250","236","9.10%"
"Issaquena County Correctional Facility","250","242","9.33%"
"Jefferson County Correctional Facility","250","231","8.91%"
"Kemper County Correctional Facility","250","234","9.02%"
"Leake Correctional Facility","250","236","9.10%"
"Marion County Correctional Facility","250","239","9.22%"
"Stone County Correctional Facility","250","237","9.14%"
"Winston County Correctional Facility","250","232","8.95%"
"REGIONAL FACILITIES","2,750","2,593","100.00%"
"East MS Correctional Facility","1,000","725","20.89%"
"Marshall County Correctional Facility","1,000","995","28.67%"
"Walnut Grove Correctional Facility","750","758","21.84%"
"Wilkinson County Correctional Facility","1,000","993","28.61%"
"TOTAL PRIVATE PRISONS","3,750","3,471","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","1","0.00%"
"Court Order","0","344","1.46%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,497","87.14%"
"Intensive Supervision Program","0","1,390","5.91%"
"Earned Release Supervision Program","0","1,257","5.34%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,647","11.25%"
"Other Custody","0","224","0.95%"
"University of MS Medical Center","0","2","0.01%"
"At Large (Escapees & Walk-Aways)","0","152","0.65%"
"TOTAL","21,737","23,522","100.00%"
