"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3454","26.74%"
"Central Mississippi Correctional Facility","3449","3220","24.93%"
"South Mississippi Correctional Institution","3204","3168","24.52%"
"County Jails - Approved*","1467","1131","8.76%"
"County Jails - Unapproved**","0","299","2.31%"
"Community Work Centers","1848","1646","12.74%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14403","12918","100.00%"
"Bolivar County Correctional Facility","294","234","9.27%"
"Carroll County Correctional Facility","280","224","8.87%"
"George County Correctional Facility","280","222","8.79%"
"Holmes County Correctional Facility","280","224","8.87%"
"Issaquena County Correctional Facility","274","217","8.59%"
"Jefferson County Correctional Facility","280","222","8.79%"
"Kemper County Correctional Facility","355","283","11.21%"
"Leake County Correctional Facility","280","227","8.99%"
"Marion County Correctional Facility","280","224","8.87%"
"Stone County Correctional Facility","280","224","8.87%"
"Winston County Correctional Facility","280","224","8.87%"
"TOTAL REGIONAL FACILITIES","3163","2525","100.00%"
"Delta Correctional Facility","972","899","16.98%"
"East MS Correctional Facility","1500","1358","25.64%"
"Marshall County Correctional Facility","1000","897","16.94%"
"Walnut Grove Correctional Facility","1500","1190","22.47%"
"Wilkinson County Correctional Facility","1000","952","17.98%"
"TOTAL PRIVATE PRISONS","5972","5296","100.00%"
"Community Trusties","2","15",".07%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","0","102",".47%"
"Court Order","00","272","1.26%"
"TOTAL CAPACITY & CUSTODY POPULATION","23560","21128","98.08%"
"Intensive Supervision Program","0","1570","7.29%"
"Earned Release Supervision Program","0","1443","6.70%"
"Medical Release","00","45",".21%"
"TOTAL COMMUNITY CORRECTIONS","0","0","0.00%"
"Other Custody","0","362","1.68%"
"Off-Grounds Medical (Hospital)","0","94",".04%"
"At Large (Escapees & Walk-Aways)","00","2",".19%"
"TOTAL","23560","21541","100.00%"
