"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3222","25.99%"
"Central Mississippi Correctional Facility","3449","3123","25.19%"
"South Mississippi Correctional Institution","3204","3158","25.47%"
"County Jails - Approved*","1480","1150","9.27%"
"County Jails - Unapproved**","0","241","1.94%"
"Community Work Centers","1848","1505","12.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14416","12399","100.00%"
"Bolivar County Correctional Facility","294","235","7.85%"
"Carroll County Correctional Facility","280","223","7.45%"
"Chickasaw County Correctional Facility","300","237","7.92%"
"George County Correctional Facility","280","223","7.45%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","218","7.28%"
"Jefferson County Correctional Facility","280","223","7.45%"
"Kemper County Correctional Facility","355","283","9.46%"
"Leake County Correctional Facility","280","224","7.48%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","222","7.42%"
"Winston County Correctional Facility","280","223","7.45%"
"Yazoo County Correctional Facility","300","234","7.82%"
"TOTAL REGIONAL FACILITIES","3763","2993","100.00%"
"Delta Correctional Facility","972","900","17.00%"
"East MS Correctional Facility","1500","1362","25.72%"
"Marshall County Correctional Facility","1000","889","16.79%"
"Walnut Grove Correctional Facility","1500","1196","22.59%"
"Wilkinson County Correctional Facility","1000","948","17.90%"
"TOTAL PRIVATE PRISONS","5972","5295","100.00%"
"Community Trusties","2","12",".05%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","00","104",".42%"
"Court Order","0","279","1.14%"
"TOTAL CAPACITY & CUSTODY POPULATION","24173","21082","85.88%"
"Intensive Supervision Program","0","1572","6.40%"
"Earned Release Supervision Program","0","1428","5.82%"
"Medical Release","00","44",".18%"
"TOTAL COMMUNITY CORRECTIONS","00","3044","12.40%"
"Other Custody","0","374","1.52%"
"Off-Grounds Medical (Hospital)","00","94",".04%"
"At Large (Escapees & Walk-Aways)","0","0",".16%"
"TOTAL","24173","24549","100.00%"
