"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5512","5113","25.00%"
"Central Mississippi Correctional Facility","3049","2989","14.61%"
"South Mississippi Correctional Institution","2214","1967","9.62%"
"County Jails - Approved*","2174","1222","5.97%"
"County Jails - Unapproved**","0","66","0.32%"
"Community Work Centers","1320","1263","6.17%"
"Bolivar County Correctional Facility","250","201","0.98%"
"Carroll County Correctional Facility","250","200","0.98%"
"Holmes County Correctional Facility","250","200","0.98%"
"Issaquena County Correctional Facility","250","193","0.94%"
"Jefferson County Correctional Facility","250","208","1.02%"
"Kemper County Correctional Facility","250","198","0.97%"
"Leake Correctional Facility","250","199","0.97%"
"Marion County Correctional Facility","250","195","0.95%"
"Stone County Correctional Facility","250","198","0.97%"
"Winston County Correctional Facility","250","217","1.06%"
"Regional Facilities Total","2500","2009","9.82%"
"Delta Correctional Facility","1000","819","4.00%"
"East MS Correctional Facility","500","494","2.41%"
"Marshall County Correctional Facility","1000","798","3.90%"
"Walnut Grove Correctional Facility","500","289","1.41%"
"Wilkinson County Correctional Facility","900","840","4.11%"
"Private Prisons Total","3900","3240","15.84%"
"Community Trusties","30","12","0.06%"
"Emergency Suspension","0","18","0.09%"
"Court Order","0","187","0.91%"
"TOTAL CAPACITY & CUSTODY POPULATION","20699","18086","88.41%"
"Intensive Supervision Program (House Arrest)","0","1215","5.94%"
"Earned Release Supervision Program","0","887","4.34%"
"Medical Release","0","2","0.01%"
"Community Corrections","0","2104","10.29%"
"Other Custody","0","200","0.98%"
"At Large (Escapees & Walk-Aways)","0","66","0.32%"
"TOTAL","20699","20456","100.00%"
