"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5316","36.69%"
"Central Mississippi Correctional Facility","3233","3150","21.74%"
"South Mississippi Correctional Institution","2214","2173","15.00%"
"County Jails - Approved*","2224","1870","12.91%"
"County Jails - Unapproved**","0","259","1.79%"
"Community Work Centers","1816","1720","11.87%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15255","14488","100.00%"
"Bolivar County Correctional Facility","250","248","9.04%"
"Carroll County Correctional Facility","250","249","9.08%"
"GeorgeCounty Correctional Facility","250","246","8.97%"
"Holmes County Correctional Facility","250","250","9.12%"
"Issaquena County Correctional Facility","250","250","9.12%"
"Jefferson County Correctional Facility","250","251","9.15%"
"Kemper County Correctional Facility","250","251","9.15%"
"Leake Correctional Facility","250","250","9.12%"
"Marion County Correctional Facility","250","251","9.15%"
"Stone County Correctional Facility","250","249","9.08%"
"Winston County Correctional Facility","250","247","9.01%"
"Regional Facilities","2750","2742","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","950","482","12.34%"
"East MS Correctional Facility","1000","724","18.54%"
"Marshall County Correctional Facility","1000","993","25.42%"
"Walnut Grove Correctional Facility","750","710","18.18%"
"Wilkinson County Correctional Facility","1000","997","25.52%"
"TOTAL PRIVATE PRISONS","4700","3906","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","TOTAL STATE, COUNTY JAILS, CWC FACILITIES","0.00%"
"Court Order","00","00","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22735","21158","88.13%"
"Intensive Supervision Program","0","1265","5.27%"
"Earned Release Supervision Program","0","1315","5.48%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2580","10.75%"
"Other Custody","0","226","0.94%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","45","0.19%"
"TOTAL","22735","24009","100.00%"
