"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3344","26.97%"
"Central Mississippi Correctional Facility","3557","2910","23.47%"
"South Mississippi Correctional Institution","3282","3235","26.09%"
"Youthful Offender Facility","42","36","0.29%"
"County Jails - Approved*","1832","1425","11.49%"
"County Jails - Unapproved**","0","288","2.32%"
"Community Work Centers","1848","1163","9.38%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15209","12401","100.00%"
"Alcorn County Correctional Facility","300","298","6.73%"
"Bolivar County Correctional Facility","369","369","8.34%"
"Carroll County Correctional Facility","280","280","6.33%"
"Chickasaw County Correctional Facility","300","296","6.69%"
"George County Correctional Facility","280","279","6.30%"
"Holmes County Correctional Facility","280","278","6.28%"
"Issaquena County Correctional Facility","274","274","6.19%"
"Jefferson County Correctional Facility","280","280","6.33%"
"Kemper County Correctional Facility","355","356","8.04%"
"Leake County Correctional Facility","280","281","6.35%"
"Marion County Correctional Facility","280","281","6.35%"
"Stone County Correctional Facility","280","280","6.33%"
"Washington County Correctional Facility","300","295","6.67%"
"Winston County Correctional Facility","280","280","6.33%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4438","4426","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1200","27.52%"
"Marshall County Correctional Facility","1000","997","22.87%"
"Walnut Grove Correctional Facility","1500","1302","29.86%"
"Wilkinson County Correctional Facility","1000","861","19.75%"
"TOTAL PRIVATE PRISONS","5972","4360","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".25%"
"Court Order","0","243","0.97%"
"TOTAL CAPACITY & CUSTODY POPULATION","25641","21505","85.72%"
"Intensive Supervision Program","0","1489","5.94%"
"Earned Release Supervision Program","0","1544","6.15%"
"Medical Release","0","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3055","12.18%"
"Other Custody","0","488","1.95%"
"Off-Grounds Medical (Hospital)","0000","10",".04%"
"At Large (Escapees & Walk-Aways)","0","30",".12%"
"TOTAL","25641","25088","100.00%"
