"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3381","16.40%"
"Central Mississippi Correctional Facility","3750","3275","15.88%"
"South Mississippi Correctional Institution","3082","3033","14.71%"
"Youthful Offender Facility","58","28","0.14%"
"County Jails - Approved","1781","682","3.31%"
"County Jails - Unapproved","0","330","1.60%"
"Community Work Centers","1154","711","3.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11440","55.49%"
"Alcorn County Correctional Facility","300","240","1.16%"
"Bolivar County Correctional Facility","369","294","1.43%"
"Carroll County Correctional Facility","280","256","1.24%"
"Chickasaw County Correctional Facility","310","272","1.32%"
"George County Correctional Facility","280","270","1.31%"
"Holmes County Correctional Facility","280","224","1.09%"
"Issaquena County Correctional Facility","274","274","1.33%"
"Jefferson County Correctional Facility","280","275","1.33%"
"Kemper County Correctional Facility","355","350","1.70%"
"Leake County Correctional Facility","280","198","0.96%"
"Marion County Correctional Facility","280","222","1.08%"
"Stone County Correctional Facility","326","260","1.26%"
"Washington County Correctional Facility","300","235","1.14%"
"Winston County Correctional Facility","280","223","1.08%"
"Yazoo County Correctional Facility","300","234","1.13%"
"TOTAL REGIONAL FACILITIES","4494","3827","18.56%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1168","5.67%"
"Marshall County Correctional Facility","1000","1000","4.85%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","891","4.32%"
"TOTAL PRIVATE PRISONS","5972","3059","14.84%"
"Community Trusties","0","45",".22%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","56",".27%"
"TVC","0","5",".02%"
"Transitional Housing","0","0","0.0%"
"Court Order","0","244","1.18%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","18676","90.59%"
"Intensive Supervision Program","0","743","3.60%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","666","3.23%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1430","6.94%"
"Other Custody","0","470","2.28%"
"Off-Grounds Medical (Hospital)","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","30","0.15%"
"TOTAL","23881","20617","100.00%"
