"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5189","40.00%"
"Central Mississippi Correctional Facility","3049","2966","22.87%"
"South Mississippi Correctional Institution","2214","2087","16.09%"
"County Jails - Approved*","2146","1462","11.27%"
"County Jails - Unapproved**","0","14","0.11%"
"Community Work Centers","1320","1253","9.66%"
"State, County Jails, & CWC Facilities","14280","12971","100.00%"
"Bolivar County Correctional Facility","250","11","0.55%"
"Carroll County Correctional Facility","250","234","11.61%"
"Holmes County Correctional Facility","250","218","10.82%"
"Issaquena County Correctional Facility","250","211","10.47%"
"Jefferson County Correctional Facility","250","225","11.17%"
"Kemper County Correctional Facility","250","241","11.96%"
"Leake Correctional Facility","250","212","10.52%"
"Marion County Correctional Facility","250","228","11.32%"
"Stone County Correctional Facility","250","215","10.67%"
"Winston County Correctional Facility","250","220","10.92%"
"Regional Facilities","2500","2015","100.00%"
"Delta Correctional Facility","1000","872","23.96%"
"East MS Correctional Facility","500","496","13.63%"
"Marshall County Correctional Facility","1000","883","24.26%"
"Walnut Grove Correctional Facility","500","496","13.63%"
"Wilkinson County Correctional Facility","900","892","24.51%"
"TOTAL PRIVATE PRISONS","3900","3639","100.00%"
"Community Trusties","30","22","0.10%"
"Emergency Suspension","0","3","0.01%"
"Court Order","0","255","1.18%"
"TOTAL CAPACITY & CUSTODY POPULATION","20710","18905","87.76%"
"Intensive Supervision Program","0","1298","6.03%"
"Earned Release Supervision Program","0","1045","4.85%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2344","10.88%"
"Other Custody","0","204","0.95%"
"University of MS Medical Center","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","79","0.37%"
"TOTAL","20710","21541","100.00%"
