"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3212","15.12%"
"Central Mississippi Correctional Facility","3750","3668","17.27%"
"South Mississippi Correctional Institution","3082","2643","12.44%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved","1781","715","3.37%"
"County Jails - Unapproved","0","370","1.74%"
"Community Work Centers","1154","619","2.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11254","52.98%"
"Alcorn County Correctional Facility","300","300","1.41%"
"Bolivar County Correctional Facility","369","292","1.37%"
"Carroll County Correctional Facility","280","275","1.29%"
"Chickasaw County Correctional Facility","310","307","1.45%"
"George County Correctional Facility","280","339","1.60%"
"Holmes County Correctional Facility","280","280","1.32%"
"Issaquena County Correctional Facility","274","310","1.46%"
"Jefferson County Correctional Facility","280","279","1.31%"
"Kemper County Correctional Facility","355","343","1.61%"
"Leake County Correctional Facility","280","275","1.29%"
"Marion County Correctional Facility","280","280","1.32%"
"Stone County Correctional Facility","326","279","1.31%"
"Washington County Correctional Facility","300","161","0.76%"
"Winston County Correctional Facility","280","265","1.25%"
"Yazoo County Correctional Facility","300","293","1.38%"
"TOTAL REGIONAL FACILITIES","4494","4278","20.14%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1266","5.96%"
"Marshall County Correctional Facility","1000","989","4.66%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","925","4.35%"
"TOTAL PRIVATE PRISONS","5972","3180","14.97%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","139",".65%"
"TVC","0","73",".34%"
"Transitional Housing","0","25",".12%"
"Court Order","0","284","1.34%"
"RRP","0","67",".32%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19307","90.89%"
"Intensive Supervision Program","0","823","3.87%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","575","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1419","6.68%"
"Other Custody","","487","2.29%"
"Off-Grounds Medical (Hospital)","","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23881","21243","100.00%"
