"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5612","5217","40.65%"
"Central Mississippi Correctional Facility","3049","3004","23.41%"
"South Mississippi Correctional Institution","2214","1988","15.49%"
"County Jails - Approved*","2122","1330","10.36%"
"County Jails - Unapproved**","0","51","0.40%"
"Community Work Centers","1320","1243","9.69%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14317","12833","100.00%"
"Bolivar County Correctional Facility","250","208","10.16%"
"Carroll County Correctional Facility","250","197","9.62%"
"Holmes County Correctional Facility","250","202","9.87%"
"Issaquena County Correctional Facility","250","203","9.92%"
"Jefferson County Correctional Facility","250","212","10.36%"
"Kemper County Correctional Facility","250","223","10.89%"
"Leake Correctional Facility","250","199","9.72%"
"Marion County Correctional Facility","250","201","9.82%"
"Stone County Correctional Facility","250","202","9.87%"
"Winston County Correctional Facility","250","200","9.77%"
"Regional Facilities","2500","2047","100.00%"
"Delta Correctional Facility","1000","833","23.80%"
"East MS Correctional Facility","500","498","14.23%"
"Marshall County Correctional Facility","1000","869","24.83%"
"Walnut Grove Correctional Facility","500","408","11.66%"
"Wilkinson County Correctional Facility","900","892","25.49%"
"TOTAL PRIVATE PRISONS","3900","3500","100.00%"
"Community Trusties","30","21","0.10%"
"Emergency Suspension","0","1","0.00%"
"Court Order","00","179","0.85%"
"TOTAL CAPACITY & CUSTODY POPULATION","20747","18581","88.00%"
"Intensive Supervision Program","0","1225","5.80%"
"Earned Release Supervision Program","0","1013","4.80%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2239","10.60%"
"Other Custody","0","210","0.99%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","78","0.37%"
"TOTAL","20747","21114","100.00%"
