"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5631","5218","41.41%"
"Central Mississippi Correctional Facility","3049","3025","24.01%"
"South Mississippi Correctional Institution","2214","1909","15.15%"
"County Jails - Approved*","2122","1133","8.99%"
"County Jails - Unapproved**","0","44","0.35%"
"Community Work Centers","1320","1272","10.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14336","12601","100.00%"
"Bolivar County Correctional Facility","250","197","9.68%"
"Carroll County Correctional Facility","250","202","9.93%"
"Holmes County Correctional Facility","250","203","9.98%"
"Issaquena County Correctional Facility","250","199","9.78%"
"Jefferson County Correctional Facility","250","213","10.47%"
"Kemper County Correctional Facility","250","225","11.06%"
"Leake Correctional Facility","250","198","9.73%"
"Marion County Correctional Facility","250","201","9.88%"
"Stone County Correctional Facility","250","200","9.83%"
"Winston County Correctional Facility","250","197","9.68%"
"Regional Facilities","2500","2035","100.00%"
"Delta Correctional Facility","1000","843","24.31%"
"East MS Correctional Facility","500","500","14.42%"
"Marshall County Correctional Facility","1000","871","25.12%"
"Walnut Grove Correctional Facility","500","381","10.99%"
"Wilkinson County Correctional Facility","900","873","25.17%"
"Private Prisons","3900","3468","100.00%"
"Community Trusties","30","24","0.12%"
"Emergency Suspension","0","18","0.09%"
"Court Order","0","187","0.90%"
"TOTAL CAPACITY & CUSTODY POPULATION","20766","18333","88.38%"
"Intensive Supervision Program","0","1203","5.80%"
"Earned Release Supervision Program","0","922","4.44%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2126","10.25%"
"Other Custody","0","204","0.98%"
"University of MS Medical Center","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","72","0.35%"
"TOTAL","20766","20743","100.00%"
