"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5661","38.56%"
"Central Mississippi Correctional Facility","3233","3130","21.32%"
"South Mississippi Correctional Institution","2214","2096","14.28%"
"County Jails - Approved*","2176","255","1.74%"
"County Jails - Unapproved**","0","1932","13.16%"
"Community Work Centers","1816","1606","10.94%"
"State, County Jails, & CWC Facilities","15207","14680","100.00%"
"Bolivar County Correctional Facility","250","245","8.96%"
"Carroll County Correctional Facility","250","249","9.11%"
"GeorgeCounty Correctional Facility","250","243","8.89%"
"Holmes County Correctional Facility","250","250","9.15%"
"Issaquena County Correctional Facility","250","250","9.15%"
"Jefferson County Correctional Facility","250","250","9.15%"
"Kemper County Correctional Facility","250","248","9.07%"
"Leake Correctional Facility","250","250","9.15%"
"Marion County Correctional Facility","250","250","9.15%"
"Stone County Correctional Facility","250","249","9.11%"
"Winston County Correctional Facility","250","249","9.11%"
"Regional Facilities","2750","2733","100.00%"
"East MS Correctional Facility","1000","728","21.14%"
"Marshall County Correctional Facility","1000","990","28.75%"
"Walnut Grove Correctional Facility","750","728","21.14%"
"Wilkinson County Correctional Facility","1000","997","28.96%"
"TOTAL REGIONAL FACILITIES","3750","3443","100.00%"
"Community Trusties","30","23","0.10%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","21737","20878","88.19%"
"Intensive Supervision Program","0","1277","5.39%"
"Earned Release Supervision Program","0","1256","5.31%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2533","10.70%"
"Other Custody","0","216","0.91%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","47","0.20%"
"TOTAL","21737","23674","100.00%"
