"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,648","3,288","25.61%"
"Central Mississippi Correctional Facility","3,665","3,011","23.45%"
"South Mississippi Correctional Institution","3,282","3,173","24.71%"
"County Jails - Approved*","1,667","1,272","9.91%"
"County Jails - Unapproved**","0","608","4.74%"
"Community Work Centers","1,848","1,487","11.58%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,110","12,839","100.00%"
"Alcorn County Correctional Facility","300","290","6.83%"
"Bolivar County Correctional Facility","294","293","6.90%"
"Carroll County Correctional Facility","280","275","6.48%"
"Chickasaw County Correctional Facility","300","296","6.97%"
"George County Correctional Facility","280","277","6.53%"
"Holmes County Correctional Facility","280","278","6.55%"
"Issaquena County Correctional Facility","274","273","6.43%"
"Jefferson County Correctional Facility","280","278","6.55%"
"Kemper County Correctional Facility","355","339","7.99%"
"Leake County Correctional Facility","280","278","6.55%"
"Marion County Correctional Facility","280","278","6.55%"
"Stone County Correctional Facility","280","279","6.57%"
"Washington County Correctional Facility","300","234","5.51%"
"Winston County Correctional Facility","280","279","6.57%"
"Yazoo County Correctional Facility","300","297","7.00%"
"TOTAL REGIONAL FACILITIES","4,363","4,244","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,317","31.54%"
"Marshall County Correctional Facility","1,000","995","23.83%"
"Walnut Grove Correctional Facility","1,500","980","23.47%"
"Wilkinson County Correctional Facility","1,000","883","21.15%"
"TOTAL PRIVATE PRISONS","5,972","4,175","100.00%"
"Community Trusties","22","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","68",".27%"
"Court Order","0","376","1.48%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,467","21,711","85.48%"
"Intensive Supervision Program","0","1,568","6.17%"
"Earned Release Supervision Program","0","1,616","6.36%"
"Medical Release","00","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3,207","12.63%"
"Other Custody","0000","437","1.72%"
"Off-Grounds Medical (Hospital)","0","7",".03%"
"At Large (Escapees & Walk-Aways)","0","37",".15%"
"TOTAL","25,467","25,399","100.00%"
