"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","2,006","10.19%"
"Central Mississippi Correctional Facility","4,094","3,268","16.60%"
"South Mississippi Correctional Institution","3,082","2,453","12.46%"
"Youthful Offender Facility","58","18","0.09%"
"County Jails - Approved","1,781","724","3.68%"
"County Jails - Unapproved","0","640","3.25%"
"Community Work Centers","1,154","405","2.06%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","9,514","48.31%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","288","1.46%"
"Bolivar County Correctional Facility","369","266","1.35%"
"Carroll County Correctional Facility","280","247","1.25%"
"Chickasaw County Correctional Facility","310","295","1.50%"
"George County Correctional Facility","280","311","1.58%"
"Holmes County Correctional Facility","280","257","1.31%"
"Issaquena County Correctional Facility","274","286","1.45%"
"Jefferson County Correctional Facility","280","254","1.29%"
"Kemper County Correctional Facility","355","294","1.49%"
"Leake County Correctional Facility","280","234","1.19%"
"Marion County Correctional Facility","280","368","1.87%"
"Stone County Correctional Facility","326","261","1.33%"
"Washington County Correctional Facility","300","130","0.66%"
"Winston County Correctional Facility","280","229","1.16%"
"Yazoo County Correctional Facility","300","269","1.37%"
"TOTAL REGIONAL FACILITIES","4,494","3,989","20.26%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,201","6.10%"
"Marshall County Correctional Facility","1,000","967","4.91%"
"Tallahatchie County Correctional Facility","1,500","749","3.80%"
"Wilkinson County Correctional Facility","1,000","842","4.28%"
"TOTAL PRIVATE PRISONS","5,972","3,759","19.09%"
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","115",".58%"
"TVC","0","96",".49%"
"Transitional Housing","0","10",".05%"
"Court Order","0","172",".87%"
"RRP","0","55",".28%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","17,710","89.93%"
"Intensive Supervision Program","0","887","4.50%"
"Conditional Release","0","3","0.02%"
"Earned Release Supervision Program","0","558","2.83%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","1,471","7.47%"
"Other Custody","0","475","2.41%"
"Off-Grounds Medical (Hospital)","0","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,225","19,692","100.00%"
